prediction_id,timestamp,match_date,league,home_team,away_team,recommended_market,recommendation,confidence,signal_clarity,ml_prediction,ml_confidence,upset_risk,risk_level,debate_triggered,verdict_type,market_value,actual_result,correct,result_timestamp,notes
AEK Athens_巴列卡诺_2026-04-16,2026-04-28T13:11:05.319085,2026-04-16T19:00:00Z,欧洲协会联赛（欧会杯）,AEK Athens,巴列卡诺,大小球,大球 2.5球,48.3,,,0,0,,,,0,pending,,,
AEK雅典_巴列卡诺_2026-04-16,2026-04-28T13:11:05.319354,2026-04-16T19:00:00Z,欧洲协会联赛（欧会杯）,AEK雅典,巴列卡诺,让球盘,数据不足,62.3,,,0,0,,,,0,pending,,,
阿斯顿维拉_博洛尼亚_2026-04-16,2026-04-28T13:11:05.321449,2026-04-16T19:00:00Z,欧洲联赛（欧联杯）,阿斯顿维拉,博洛尼亚,让球盘,Aston Villa -1.50,67.3,,,0,0,,,,0,pending,,,
佛罗伦萨_水晶宫_2026-04-16,2026-04-28T13:11:05.327082,2026-04-16T19:00:00Z,欧洲协会联赛（欧会杯）,佛罗伦萨,水晶宫,大小球,均衡 2.5球,37.6,,,0,0,,,,0,pending,,,
诺丁汉森林_波尔图_2026-04-16,2026-04-28T13:11:05.333720,2026-04-16T19:00:00Z,欧洲联赛（欧联杯）,诺丁汉森林,波尔图,大小球,小球 2.5球,49.3,,,0,0,,,,0,pending,,,
皇家贝蒂斯_布拉加_2026-04-16,2026-04-28T13:11:05.336763,2026-04-16T19:00:00Z,欧洲联赛（欧联杯）,皇家贝蒂斯,布拉加,让球盘,Real Betis -1.50,60.3,,,0,0,,,,0,pending,,,
斯特拉斯堡_美因茨_2026-04-16,2026-04-28T13:11:05.339531,2026-04-16T19:00:00Z,欧洲协会联赛（欧会杯）,斯特拉斯堡,美因茨,大小球,大球 2.5球,56.7,,,0,0,,,,0,pending,,,
帕尔梅拉斯_水晶竞技_2026-04-16,2026-04-28T13:11:05.335145,2026-04-16T22:00:00Z,南美解放者杯,帕尔梅拉斯,水晶竞技,大小球,大球 2.5球,75.8,,,0,0,,,,0,pending,,,
弗拉门戈_麦德林独立_2026-04-17,2026-04-28T13:11:05.327733,2026-04-17T00:30:00Z,南美解放者杯,弗拉门戈,麦德林独立,大小球,大球 2.5球,76.0,,,0,0,,,,0,pending,,,
Sydney FC_Perth Glory_2026-04-18,2026-04-28T13:11:05.340418,2026-04-18T09:35:00Z,soccer_australia_aleague,Sydney FC,Perth Glory,让球盘,Sydney FC -0.75,59.9,,,0,0,,,,0,pending,,,
悉尼FC_珀斯光荣_2026-04-18,2026-04-28T13:11:05.340649,2026-04-18T09:35:00Z,soccer_australia_aleague,悉尼FC,珀斯光荣,让球盘,Sydney FC -1.00,60.3,,,0,0,,,,0,pending,,,
Chelsea_Manchester United_2026-04-18,2026-04-28T13:11:05.325529,2026-04-18T19:00:00Z,英格兰超级联赛,Chelsea,Manchester United,,两个市场均可考虑,0,,,0,0,,,,0,pending,,,
切尔西_曼联_2026-04-18,2026-04-28T13:11:05.325661,2026-04-18T19:00:00Z,英格兰超级联赛,切尔西,曼联,大小球,大球 2.5球,52.2,,,0,0,,,,0,pending,,,
蔚山现代_光州FC_2026-04-19,2026-04-28T13:11:05.341312,2026-04-19T05:00:00Z,韩国K联赛,蔚山现代,光州FC,让球盘,Ulsan Hyundai FC -1.00,61.0,,,0,0,,,,0,pending,,,
大阪钢巴_冈山绿雉_2026-04-19,2026-04-28T13:11:05.328539,2026-04-19T06:00:00Z,日本J联赛,大阪钢巴,冈山绿雉,让球盘,Gamba Osaka -1.00,50.5,,,0,0,,,,0,pending,,,
名古屋鲸八_福冈黄蜂_2026-04-19,2026-04-28T13:11:05.333094,2026-04-19T07:00:00Z,日本J联赛,名古屋鲸八,福冈黄蜂,让球盘,Nagoya Grampus -0.75,61.6,,,0,0,,,,0,pending,,,
浦项制铁_安养FC_2026-04-19,2026-04-28T13:11:05.336077,2026-04-19T07:30:00Z,韩国K联赛,浦项制铁,安养FC,大小球,小球 2.25球,53.7,,,0,0,,,,0,pending,,,
